"panel","run_id","case","seed","alpha","sigma2","sigma1","rho","n_steps","terminal"
"development","infill__R09__rep01__n4000000__T50",10169,220009001,1.55,1,1.6,1.2,4000000,50
"development","infill__R09__rep02__n4000000__T50",10170,220009002,1.55,1,1.6,1.2,4000000,50
"development","infill__R09__rep03__n4000000__T50",10171,220009003,1.55,1,1.6,1.2,4000000,50
"development","infill__R10__rep01__n4000000__T50",10172,220010001,1.32,0.95,1.2,1.5,4000000,50
"development","infill__R10__rep02__n4000000__T50",10173,220010002,1.32,0.95,1.2,1.5,4000000,50
"development","infill__R10__rep03__n4000000__T50",10174,220010003,1.32,0.95,1.2,1.5,4000000,50
"development","infill__R11__rep01__n4000000__T50",10175,220011001,1.25,1.1,0.7,1.9,4000000,50
"development","infill__R11__rep02__n4000000__T50",10176,220011002,1.25,1.1,0.7,1.9,4000000,50
"development","infill__R11__rep03__n4000000__T50",10177,220011003,1.25,1.1,0.7,1.9,4000000,50
"development","infill__R12__rep01__n4000000__T50",10178,220012001,1.08,1.3,1,1.7,4000000,50
"development","infill__R12__rep02__n4000000__T50",10179,220012002,1.08,1.3,1,1.7,4000000,50
"development","infill__R12__rep03__n4000000__T50",10180,220012003,1.08,1.3,1,1.7,4000000,50
"development","long_span__R01__rep01__n2500000__T25",10181,310001001,1.25,1,1.2,1.45,2500000,25
"development","long_span__R01__rep02__n2500000__T25",10182,310001002,1.25,1,1.2,1.45,2500000,25
"development","long_span__R01__rep03__n2500000__T25",10183,310001003,1.25,1,1.2,1.45,2500000,25
"development","long_span__R02__rep01__n2500000__T25",10184,310002001,1.45,0.6,1.6,0.9,2500000,25
"development","long_span__R02__rep02__n2500000__T25",10185,310002002,1.45,0.6,1.6,0.9,2500000,25
"development","long_span__R02__rep03__n2500000__T25",10186,310002003,1.45,0.6,1.6,0.9,2500000,25
"development","long_span__R03__rep01__n2500000__T25",10187,310003001,1.55,1.4,0.7,2.2,2500000,25
"development","long_span__R03__rep02__n2500000__T25",10188,310003002,1.55,1.4,0.7,2.2,2500000,25
"development","long_span__R03__rep03__n2500000__T25",10189,310003003,1.55,1.4,0.7,2.2,2500000,25
"development","long_span__R04__rep01__n2500000__T25",10190,310004001,1.15,1.3,1.5,1.1,2500000,25
"development","long_span__R04__rep02__n2500000__T25",10191,310004002,1.15,1.3,1.5,1.1,2500000,25
"development","long_span__R04__rep03__n2500000__T25",10192,310004003,1.15,1.3,1.5,1.1,2500000,25
"development","long_span__R05__rep01__n2500000__T25",10193,310005001,1.4,0.7,1.3,1,2500000,25
"development","long_span__R05__rep02__n2500000__T25",10194,310005002,1.4,0.7,1.3,1,2500000,25
"development","long_span__R05__rep03__n2500000__T25",10195,310005003,1.4,0.7,1.3,1,2500000,25
"development","long_span__R12__rep01__n2500000__T25",10196,310012001,1.08,1.3,1,1.7,2500000,25
"development","long_span__R12__rep02__n2500000__T25",10197,310012002,1.08,1.3,1,1.7,2500000,25
"development","long_span__R12__rep03__n2500000__T25",10198,310012003,1.08,1.3,1,1.7,2500000,25
"development","long_span__R01__rep01__n5000000__T50",10199,320001001,1.25,1,1.2,1.45,5000000,50
"development","long_span__R01__rep02__n5000000__T50",10200,320001002,1.25,1,1.2,1.45,5000000,50
"development","long_span__R01__rep03__n5000000__T50",10201,320001003,1.25,1,1.2,1.45,5000000,50
"development","long_span__R02__rep01__n5000000__T50",10202,320002001,1.45,0.6,1.6,0.9,5000000,50
"development","long_span__R02__rep02__n5000000__T50",10203,320002002,1.45,0.6,1.6,0.9,5000000,50
"development","long_span__R02__rep03__n5000000__T50",10204,320002003,1.45,0.6,1.6,0.9,5000000,50
"development","long_span__R03__rep01__n5000000__T50",10205,320003001,1.55,1.4,0.7,2.2,5000000,50
"development","long_span__R03__rep02__n5000000__T50",10206,320003002,1.55,1.4,0.7,2.2,5000000,50
"development","long_span__R03__rep03__n5000000__T50",10207,320003003,1.55,1.4,0.7,2.2,5000000,50
"development","long_span__R04__rep01__n5000000__T50",10208,320004001,1.15,1.3,1.5,1.1,5000000,50
"development","long_span__R04__rep02__n5000000__T50",10209,320004002,1.15,1.3,1.5,1.1,5000000,50
"development","long_span__R04__rep03__n5000000__T50",10210,320004003,1.15,1.3,1.5,1.1,5000000,50
"development","long_span__R05__rep01__n5000000__T50",10211,320005001,1.4,0.7,1.3,1,5000000,50
"development","long_span__R05__rep02__n5000000__T50",10212,320005002,1.4,0.7,1.3,1,5000000,50
"development","long_span__R05__rep03__n5000000__T50",10213,320005003,1.4,0.7,1.3,1,5000000,50
"development","long_span__R12__rep01__n5000000__T50",10214,320012001,1.08,1.3,1,1.7,5000000,50
"development","long_span__R12__rep02__n5000000__T50",10215,320012002,1.08,1.3,1,1.7,5000000,50
"development","long_span__R12__rep03__n5000000__T50",10216,320012003,1.08,1.3,1,1.7,5000000,50
"development","long_span__R01__rep01__n10000000__T100",10217,330001001,1.25,1,1.2,1.45,10000000,100
"development","long_span__R01__rep02__n10000000__T100",10218,330001002,1.25,1,1.2,1.45,10000000,100
"development","long_span__R01__rep03__n10000000__T100",10219,330001003,1.25,1,1.2,1.45,10000000,100
"development","long_span__R02__rep01__n10000000__T100",10220,330002001,1.45,0.6,1.6,0.9,10000000,100
"development","long_span__R02__rep02__n10000000__T100",10221,330002002,1.45,0.6,1.6,0.9,10000000,100
"development","long_span__R02__rep03__n10000000__T100",10222,330002003,1.45,0.6,1.6,0.9,10000000,100
"development","long_span__R03__rep01__n10000000__T100",10223,330003001,1.55,1.4,0.7,2.2,10000000,100
"development","long_span__R03__rep02__n10000000__T100",10224,330003002,1.55,1.4,0.7,2.2,10000000,100
"development","long_span__R03__rep03__n10000000__T100",10225,330003003,1.55,1.4,0.7,2.2,10000000,100
"development","long_span__R04__rep01__n10000000__T100",10226,330004001,1.15,1.3,1.5,1.1,10000000,100
"development","long_span__R04__rep02__n10000000__T100",10227,330004002,1.15,1.3,1.5,1.1,10000000,100
"development","long_span__R04__rep03__n10000000__T100",10228,330004003,1.15,1.3,1.5,1.1,10000000,100
"development","long_span__R05__rep01__n10000000__T100",10229,330005001,1.4,0.7,1.3,1,10000000,100
"development","long_span__R05__rep02__n10000000__T100",10230,330005002,1.4,0.7,1.3,1,10000000,100
"development","long_span__R05__rep03__n10000000__T100",10231,330005003,1.4,0.7,1.3,1,10000000,100
"development","long_span__R12__rep01__n10000000__T100",10232,330012001,1.08,1.3,1,1.7,10000000,100
"development","long_span__R12__rep02__n10000000__T100",10233,330012002,1.08,1.3,1,1.7,10000000,100
"development","long_span__R12__rep03__n10000000__T100",10234,330012003,1.08,1.3,1,1.7,10000000,100
"development","heavy_tail_stress__R02__rep01__n10000000__T50",10235,410002001,1.45,0.6,1.6,0.9,10000000,50
"development","heavy_tail_stress__R02__rep02__n10000000__T50",10236,410002002,1.45,0.6,1.6,0.9,10000000,50
"development","heavy_tail_stress__R02__rep03__n10000000__T50",10237,410002003,1.45,0.6,1.6,0.9,10000000,50
"development","heavy_tail_stress__R02__rep04__n10000000__T50",10238,410002004,1.45,0.6,1.6,0.9,10000000,50
"development","heavy_tail_stress__R03__rep01__n10000000__T50",10239,410003001,1.55,1.4,0.7,2.2,10000000,50
